time_stamp,Requested File,Lifetime
133,10.0,4.0
134,24.0,2.0
134,4.0,12.0
135,1.0,12.0
135,24.0,2.0
136,1.0,12.0
137,31.0,2.0
138,25.0,12.0
139,2.0,12.0
140,23.0,2.0
140,8.0,2.0
141,36.0,6.0
141,33.0,9.0
143,9.0,2.0
144,31.0,2.0
145,22.0,12.0
145,39.0,10.0
146,9.0,2.0
146,24.0,2.0
147,1.0,12.0
147,35.0,12.0
148,8.0,2.0
149,9.0,2.0
150,4.0,12.0
151,31.0,2.0
152,8.0,2.0
153,23.0,2.0
154,38.0,5.0
154,2.0,12.0
155,1.0,12.0
155,21.0,2.0
156,11.0,10.0
156,8.0,2.0
157,22.0,12.0
157,9.0,2.0
158,21.0,2.0
159,9.0,2.0
159,37.0,11.0
160,5.0,12.0
162,24.0,2.0
163,23.0,2.0
163,19.0,10.0
164,24.0,2.0
165,1.0,12.0
165,24.0,2.0
166,25.0,12.0
166,9.0,2.0
167,8.0,2.0
168,34.0,6.0
169,23.0,2.0
170,24.0,2.0
170,24.0,2.0
171,5.0,12.0
172,9.0,2.0
172,39.0,10.0
173,35.0,12.0
174,2.0,12.0
175,21.0,2.0
176,24.0,2.0
176,9.0,2.0
177,32.0,6.0
178,5.0,12.0
179,13.0,12.0
179,32.0,6.0
180,4.0,12.0
182,28.0,11.0
182,21.0,2.0
183,24.0,2.0
183,5.0,12.0
184,31.0,2.0
184,24.0,2.0
185,25.0,12.0
186,9.0,2.0
186,35.0,12.0
188,13.0,12.0
188,21.0,2.0
189,29.0,7.0
189,4.0,12.0
190,24.0,2.0
190,8.0,2.0
191,24.0,2.0
192,21.0,2.0
193,31.0,2.0
194,23.0,2.0
194,5.0,12.0
195,1.0,12.0
195,2.0,12.0
196,24.0,2.0
197,9.0,2.0
197,22.0,12.0
198,22.0,12.0
198,8.0,2.0
199,31.0,2.0
199,24.0,2.0
200,35.0,12.0
201,9.0,2.0
202,25.0,12.0
202,21.0,2.0
203,40.0,5.0
204,40.0,5.0
205,2.0,12.0
206,13.0,12.0
206,20.0,10.0
207,10.0,4.0
207,5.0,12.0
208,2.0,12.0
208,8.0,2.0
209,24.0,2.0
209,4.0,12.0
210,22.0,12.0
210,9.0,2.0
211,20.0,10.0
211,35.0,12.0
212,24.0,2.0
212,40.0,5.0
213,23.0,2.0
213,8.0,2.0
214,21.0,2.0
215,24.0,2.0
215,2.0,12.0
216,1.0,12.0
216,24.0,2.0
217,29.0,7.0
217,21.0,2.0
218,13.0,12.0
218,5.0,12.0
219,23.0,2.0
220,24.0,2.0
222,24.0,2.0
223,14.0,6.0
223,8.0,2.0
224,4.0,12.0
225,23.0,2.0
225,35.0,12.0
228,39.0,10.0
229,20.0,10.0
230,24.0,2.0
231,23.0,2.0
231,21.0,2.0
232,9.0,2.0
232,8.0,2.0
234,22.0,12.0
235,25.0,12.0
235,31.0,2.0
236,24.0,2.0
236,8.0,2.0
237,23.0,2.0
237,20.0,10.0
238,1.0,12.0
239,24.0,2.0
239,4.0,12.0
240,9.0,2.0
240,2.0,12.0
241,31.0,2.0
241,24.0,2.0
242,8.0,2.0
243,9.0,2.0
244,32.0,6.0
244,24.0,2.0
245,22.0,12.0
245,14.0,6.0
246,24.0,2.0
246,21.0,2.0
247,8.0,2.0
248,23.0,2.0
249,13.0,12.0
249,5.0,12.0
250,1.0,12.0
251,24.0,2.0
251,24.0,2.0
252,8.0,2.0
253,9.0,2.0
253,18.0,9.0
254,36.0,6.0
254,6.0,8.0
255,35.0,12.0
256,23.0,2.0
256,9.0,2.0
257,5.0,12.0
258,25.0,12.0
258,4.0,12.0
259,31.0,2.0
262,23.0,2.0
262,21.0,2.0
263,22.0,12.0
263,8.0,2.0
264,29.0,7.0
266,9.0,2.0
266,27.0,6.0
267,13.0,12.0
267,2.0,12.0
268,31.0,2.0
268,20.0,10.0
269,1.0,12.0
269,39.0,10.0
270,25.0,12.0
270,8.0,2.0
271,24.0,2.0
271,21.0,2.0
272,9.0,2.0
272,17.0,8.0
273,35.0,12.0
274,9.0,2.0
275,23.0,2.0
277,22.0,12.0
277,5.0,12.0
278,13.0,12.0
278,21.0,2.0
279,23.0,2.0
279,9.0,2.0
283,9.0,2.0
283,24.0,2.0
284,24.0,2.0
285,10.0,4.0
286,17.0,8.0
287,24.0,2.0
288,23.0,2.0
289,4.0,12.0
290,8.0,2.0
291,9.0,2.0
292,31.0,2.0
292,2.0,12.0
294,8.0,2.0
295,9.0,2.0
296,22.0,12.0
296,35.0,12.0
297,25.0,12.0
297,9.0,2.0
298,24.0,2.0
300,8.0,2.0
301,24.0,2.0
301,20.0,10.0
302,37.0,11.0
303,31.0,2.0
304,23.0,2.0
304,21.0,2.0
305,38.0,5.0
306,10.0,4.0
307,25.0,12.0
307,5.0,12.0
308,32.0,6.0
308,8.0,2.0
309,1.0,12.0
309,15.0,5.0
310,22.0,12.0
310,21.0,2.0
311,9.0,2.0
312,23.0,2.0
312,35.0,12.0
313,24.0,2.0
313,18.0,9.0
315,9.0,2.0
316,25.0,12.0
316,27.0,6.0
317,23.0,2.0
318,24.0,2.0
318,29.0,7.0
319,8.0,2.0
320,21.0,2.0
321,9.0,2.0
322,40.0,5.0
323,21.0,2.0
324,9.0,2.0
324,9.0,2.0
325,12.0,10.0
326,23.0,2.0
327,31.0,2.0
328,24.0,2.0
329,35.0,12.0
330,23.0,2.0
331,31.0,2.0
331,2.0,12.0
332,24.0,2.0
333,23.0,2.0
334,9.0,2.0
335,1.0,12.0
336,23.0,2.0
336,26.0,12.0
337,3.0,3.0
338,25.0,12.0
338,4.0,12.0
340,24.0,2.0
340,13.0,12.0
341,13.0,12.0
341,9.0,2.0
342,15.0,5.0
342,24.0,2.0
344,2.0,12.0
345,24.0,2.0
345,8.0,2.0
346,40.0,5.0
346,39.0,10.0
347,35.0,12.0
348,24.0,2.0
348,4.0,12.0
349,1.0,12.0
349,21.0,2.0
351,5.0,12.0
352,31.0,2.0
352,24.0,2.0
353,37.0,11.0
353,9.0,2.0
354,32.0,6.0
354,2.0,12.0
355,23.0,2.0
356,13.0,12.0
357,21.0,2.0
358,4.0,12.0
359,1.0,12.0
360,24.0,2.0
360,26.0,12.0
361,23.0,2.0
362,2.0,12.0
363,31.0,2.0
364,13.0,12.0
364,24.0,2.0
366,4.0,12.0
367,24.0,2.0
367,5.0,12.0
368,24.0,2.0
369,35.0,12.0
370,4.0,12.0
370,8.0,2.0
371,1.0,12.0
372,31.0,2.0
372,2.0,12.0
373,8.0,2.0
374,21.0,2.0
375,31.0,2.0
376,25.0,12.0
376,8.0,2.0
377,14.0,6.0
377,1.0,12.0
379,13.0,12.0
381,23.0,2.0
381,21.0,2.0
383,9.0,2.0
383,9.0,2.0
384,24.0,2.0
385,13.0,12.0
386,23.0,2.0
387,9.0,2.0
387,24.0,2.0
389,22.0,12.0
389,8.0,2.0
390,4.0,12.0
391,25.0,12.0
391,9.0,2.0
393,4.0,12.0
394,24.0,2.0
395,23.0,2.0
395,16.0,13.0
396,8.0,2.0
397,9.0,2.0
398,31.0,2.0
398,24.0,2.0
399,38.0,5.0
400,25.0,12.0
400,36.0,6.0
401,22.0,12.0
401,5.0,12.0
402,23.0,2.0
402,24.0,2.0
403,8.0,2.0
404,1.0,12.0
404,4.0,12.0
405,19.0,10.0
406,13.0,12.0
406,9.0,2.0
407,23.0,2.0
409,24.0,2.0
409,2.0,12.0
410,9.0,2.0
411,31.0,2.0
413,2.0,12.0
413,28.0,11.0
414,23.0,2.0
414,9.0,2.0
415,9.0,2.0
416,1.0,12.0
416,11.0,10.0
417,35.0,12.0
418,9.0,2.0
418,8.0,2.0
419,23.0,2.0
419,3.0,3.0
420,9.0,2.0
421,22.0,12.0
421,4.0,12.0
422,36.0,6.0
423,25.0,12.0
423,24.0,2.0
424,21.0,2.0
425,16.0,13.0
426,28.0,11.0
426,15.0,5.0
427,9.0,2.0
428,2.0,12.0
429,1.0,12.0
429,20.0,10.0
430,9.0,2.0
430,9.0,2.0
431,20.0,10.0
432,23.0,2.0
432,24.0,2.0
433,9.0,2.0
434,31.0,2.0
435,24.0,2.0
436,4.0,12.0
437,35.0,12.0
437,35.0,12.0
438,13.0,12.0
438,25.0,12.0
439,9.0,2.0
440,24.0,2.0
441,14.0,6.0
442,9.0,2.0
443,31.0,2.0
443,21.0,2.0
446,12.0,10.0
447,22.0,12.0
449,7.0,3.0
450,23.0,2.0
450,31.0,2.0
451,2.0,12.0
453,24.0,2.0
453,10.0,4.0
456,1.0,12.0
456,21.0,2.0
457,38.0,5.0
459,25.0,12.0
459,9.0,2.0
460,23.0,2.0
460,2.0,12.0
462,24.0,2.0
462,8.0,2.0
463,23.0,2.0
463,9.0,2.0
464,13.0,12.0
464,5.0,12.0
465,8.0,2.0
466,4.0,12.0
467,24.0,2.0
467,27.0,6.0
468,9.0,2.0
470,9.0,2.0
470,24.0,2.0
471,31.0,2.0
472,22.0,12.0
472,8.0,2.0
473,1.0,12.0
473,34.0,6.0
474,9.0,2.0
475,8.0,2.0
475,9.0,2.0
476,34.0,6.0
476,24.0,2.0
477,8.0,2.0
478,31.0,2.0
478,21.0,2.0
480,24.0,2.0
481,10.0,4.0
481,32.0,6.0
482,31.0,2.0
482,21.0,2.0
483,4.0,12.0
484,13.0,12.0
484,9.0,2.0
486,34.0,6.0
486,8.0,2.0
487,31.0,2.0
488,24.0,2.0
488,24.0,2.0
489,35.0,12.0
490,23.0,2.0
490,9.0,2.0
491,9.0,2.0
492,8.0,2.0
492,5.0,12.0
493,25.0,12.0
493,9.0,2.0
494,9.0,2.0
494,37.0,11.0
495,1.0,12.0
496,14.0,6.0
496,24.0,2.0
497,4.0,12.0
497,22.0,12.0
498,24.0,2.0
499,31.0,2.0
499,5.0,12.0
500,21.0,2.0
501,13.0,12.0
502,23.0,2.0
502,36.0,6.0
503,26.0,12.0
503,2.0,12.0
505,22.0,12.0
505,26.0,12.0
507,9.0,2.0
507,24.0,2.0
508,21.0,2.0
508,11.0,10.0
509,35.0,12.0
510,31.0,2.0
510,20.0,10.0
511,15.0,5.0
511,32.0,6.0
513,24.0,2.0
513,8.0,2.0
514,25.0,12.0
514,4.0,12.0
515,29.0,7.0
517,9.0,2.0
518,24.0,2.0
518,21.0,2.0
519,23.0,2.0
519,9.0,2.0
521,31.0,2.0
522,23.0,2.0
522,5.0,12.0
523,35.0,12.0
524,9.0,2.0
524,9.0,2.0
525,23.0,2.0
525,32.0,6.0
526,7.0,3.0
527,25.0,12.0
528,22.0,12.0
528,2.0,12.0
529,13.0,12.0
530,24.0,2.0
530,8.0,2.0
531,27.0,6.0
532,17.0,8.0
532,35.0,12.0
533,9.0,2.0
534,24.0,2.0
534,29.0,7.0
535,23.0,2.0
536,9.0,2.0
536,24.0,2.0
537,24.0,2.0
537,9.0,2.0
538,1.0,12.0
539,31.0,2.0
539,39.0,10.0
540,24.0,2.0
541,8.0,2.0
542,24.0,2.0
542,35.0,12.0
543,23.0,2.0
544,3.0,3.0
545,24.0,2.0
546,31.0,2.0
547,25.0,12.0
547,21.0,2.0
548,3.0,3.0
549,31.0,2.0
550,1.0,12.0
550,35.0,12.0
551,5.0,12.0
552,24.0,2.0
553,9.0,2.0
553,24.0,2.0
554,22.0,12.0
555,2.0,12.0
556,24.0,2.0
557,9.0,2.0
557,8.0,2.0
558,13.0,12.0
558,9.0,2.0
559,24.0,2.0
560,31.0,2.0
561,10.0,4.0
561,37.0,11.0
562,24.0,2.0
562,16.0,13.0
563,1.0,12.0
565,40.0,5.0
566,27.0,6.0
566,24.0,2.0
567,35.0,12.0
568,1.0,12.0
571,31.0,2.0
572,23.0,2.0
572,21.0,2.0
573,9.0,2.0
573,8.0,2.0
575,1.0,12.0
576,22.0,12.0
576,9.0,2.0
577,23.0,2.0
578,26.0,12.0
579,36.0,6.0
579,2.0,12.0
580,8.0,2.0
581,2.0,12.0
581,24.0,2.0
582,25.0,12.0
582,38.0,5.0
583,35.0,12.0
583,8.0,2.0
584,12.0,10.0
584,9.0,2.0
585,23.0,2.0
585,24.0,2.0
586,24.0,2.0
586,12.0,10.0
587,13.0,12.0
587,35.0,12.0
588,23.0,2.0
588,21.0,2.0
589,24.0,2.0
590,31.0,2.0
590,4.0,12.0
591,21.0,2.0
592,24.0,2.0
592,7.0,3.0
593,23.0,2.0
595,1.0,12.0
596,23.0,2.0
596,21.0,2.0
597,18.0,9.0
599,25.0,12.0
599,2.0,12.0
600,24.0,2.0
600,35.0,12.0
601,34.0,6.0
602,40.0,5.0
603,31.0,2.0
603,21.0,2.0
604,1.0,12.0
604,8.0,2.0
605,22.0,12.0
605,5.0,12.0
606,31.0,2.0
606,35.0,12.0
607,5.0,12.0
608,9.0,2.0
608,8.0,2.0
609,13.0,12.0
609,21.0,2.0
610,23.0,2.0
610,22.0,12.0
611,31.0,2.0
611,8.0,2.0
612,25.0,12.0
612,24.0,2.0
613,23.0,2.0
615,14.0,6.0
615,9.0,2.0
616,1.0,12.0
617,9.0,2.0
617,8.0,2.0
619,24.0,2.0
619,4.0,12.0
620,5.0,12.0
621,16.0,13.0
622,31.0,2.0
622,9.0,2.0
623,8.0,2.0
624,23.0,2.0
624,2.0,12.0
626,12.0,10.0
626,9.0,2.0
627,9.0,2.0
627,8.0,2.0
628,13.0,12.0
629,26.0,12.0
630,9.0,2.0
631,23.0,2.0
631,29.0,7.0
632,10.0,4.0
632,2.0,12.0
633,24.0,2.0
634,22.0,12.0
634,12.0,10.0
635,1.0,12.0
635,8.0,2.0
637,9.0,2.0
638,9.0,2.0
638,32.0,6.0
639,31.0,2.0
640,21.0,2.0
641,6.0,8.0
641,35.0,12.0
643,31.0,2.0
643,24.0,2.0
644,39.0,10.0
644,8.0,2.0
645,9.0,2.0
646,12.0,10.0
647,31.0,2.0
647,17.0,8.0
648,9.0,2.0
648,38.0,5.0
649,4.0,12.0
650,2.0,12.0
651,1.0,12.0
651,35.0,12.0
652,9.0,2.0
652,10.0,4.0
654,24.0,2.0
654,40.0,5.0
655,31.0,2.0
655,36.0,6.0
656,25.0,12.0
656,9.0,2.0
658,6.0,8.0
658,2.0,12.0
659,22.0,12.0
659,24.0,2.0
660,33.0,9.0
660,21.0,2.0
661,5.0,12.0
662,30.0,12.0
663,23.0,2.0
663,8.0,2.0
664,24.0,2.0
665,38.0,5.0
666,13.0,12.0
666,24.0,2.0
667,27.0,6.0
668,31.0,2.0
669,24.0,2.0
669,3.0,3.0
670,1.0,12.0
670,8.0,2.0
672,23.0,2.0
672,21.0,2.0
674,8.0,2.0
676,22.0,12.0
676,12.0,10.0
677,25.0,12.0
677,29.0,7.0
678,13.0,12.0
678,27.0,6.0
679,24.0,2.0
679,8.0,2.0
680,21.0,2.0
681,4.0,12.0
682,8.0,2.0
683,21.0,2.0
685,25.0,12.0
685,8.0,2.0
687,24.0,2.0
688,31.0,2.0
688,35.0,12.0
689,19.0,10.0
689,28.0,11.0
690,36.0,6.0
690,8.0,2.0
691,9.0,2.0
693,9.0,2.0
694,23.0,2.0
694,5.0,12.0
695,13.0,12.0
696,22.0,12.0
697,24.0,2.0
697,2.0,12.0
698,9.0,2.0
698,24.0,2.0
700,4.0,12.0
701,23.0,2.0
701,24.0,2.0
702,24.0,2.0
702,20.0,10.0
703,31.0,2.0
704,9.0,2.0
706,31.0,2.0
706,5.0,12.0
707,23.0,2.0
707,21.0,2.0
708,20.0,10.0
709,24.0,2.0
710,8.0,2.0
711,1.0,12.0
711,2.0,12.0
713,9.0,2.0
714,25.0,12.0
714,21.0,2.0
715,8.0,2.0
716,23.0,2.0
716,9.0,2.0
717,35.0,12.0
718,21.0,2.0
720,9.0,2.0
721,31.0,2.0
722,39.0,10.0
723,17.0,8.0
723,21.0,2.0
724,31.0,2.0
725,24.0,2.0
725,5.0,12.0
726,4.0,12.0
727,22.0,12.0
727,9.0,2.0
728,13.0,12.0
729,8.0,2.0
730,4.0,12.0
731,31.0,2.0
731,39.0,10.0
733,28.0,11.0
733,21.0,2.0
734,24.0,2.0
734,9.0,2.0
735,9.0,2.0
735,2.0,12.0
736,35.0,12.0
737,1.0,12.0
738,9.0,2.0
739,23.0,2.0
739,4.0,12.0
740,24.0,2.0
740,15.0,5.0
741,5.0,12.0
742,25.0,12.0
742,35.0,12.0
744,9.0,2.0
744,24.0,2.0
745,23.0,2.0
745,21.0,2.0
747,9.0,2.0
748,40.0,5.0
748,3.0,3.0
749,24.0,2.0
749,8.0,2.0
750,4.0,12.0
750,24.0,2.0
751,37.0,11.0
751,33.0,9.0
752,22.0,12.0
753,23.0,2.0
753,8.0,2.0
754,13.0,12.0
755,32.0,6.0
755,4.0,12.0
756,1.0,12.0
756,21.0,2.0
757,24.0,2.0
757,2.0,12.0
758,19.0,10.0
759,22.0,12.0
759,25.0,12.0
760,29.0,7.0
760,24.0,2.0
761,23.0,2.0
762,9.0,2.0
762,21.0,2.0
763,8.0,2.0
764,31.0,2.0
765,12.0,10.0
765,27.0,6.0
766,23.0,2.0
766,24.0,2.0
767,9.0,2.0
767,5.0,12.0
768,1.0,12.0
769,13.0,12.0
770,21.0,2.0
771,24.0,2.0
771,24.0,2.0
773,31.0,2.0
774,15.0,5.0
775,25.0,12.0
775,9.0,2.0
776,1.0,12.0
776,6.0,8.0
777,5.0,12.0
777,2.0,12.0
778,31.0,2.0
779,23.0,2.0
779,35.0,12.0
780,24.0,2.0
780,36.0,6.0
781,5.0,12.0
782,35.0,12.0
782,9.0,2.0
783,24.0,2.0
784,13.0,12.0
784,8.0,2.0
785,24.0,2.0
785,2.0,12.0
788,33.0,9.0
789,24.0,2.0
789,21.0,2.0
792,22.0,12.0
792,2.0,12.0
793,24.0,2.0
793,24.0,2.0
794,1.0,12.0
794,21.0,2.0
795,23.0,2.0
796,24.0,2.0
797,9.0,2.0
798,31.0,2.0
798,4.0,12.0
799,24.0,2.0
799,40.0,5.0
800,16.0,13.0
801,22.0,12.0
801,35.0,12.0
804,9.0,2.0
805,27.0,6.0
805,24.0,2.0
806,29.0,7.0
806,21.0,2.0
807,23.0,2.0
808,9.0,2.0
809,31.0,2.0
809,5.0,12.0
810,23.0,2.0
811,6.0,8.0
811,9.0,2.0
812,34.0,6.0
813,18.0,9.0
814,25.0,12.0
815,9.0,2.0
815,28.0,11.0
816,1.0,12.0
816,24.0,2.0
817,14.0,6.0
818,24.0,2.0
818,21.0,2.0
819,23.0,2.0
819,8.0,2.0
821,2.0,12.0
822,13.0,12.0
823,24.0,2.0
824,32.0,6.0
825,22.0,12.0
825,9.0,2.0
827,9.0,2.0
827,5.0,12.0
828,23.0,2.0
828,21.0,2.0
829,13.0,12.0
829,8.0,2.0
830,17.0,8.0
830,9.0,2.0
831,36.0,6.0
831,24.0,2.0
832,31.0,2.0
832,2.0,12.0
833,40.0,5.0
833,9.0,2.0
835,24.0,2.0
835,12.0,10.0
836,34.0,6.0
838,24.0,2.0
839,24.0,2.0
839,35.0,12.0
840,22.0,12.0
840,8.0,2.0
841,5.0,12.0
842,21.0,2.0
843,1.0,12.0
844,9.0,2.0
844,9.0,2.0
846,2.0,12.0
847,31.0,2.0
847,8.0,2.0
848,32.0,6.0
849,23.0,2.0
850,13.0,12.0
851,35.0,12.0
851,30.0,12.0
852,24.0,2.0
852,5.0,12.0
853,25.0,12.0
854,9.0,2.0
854,8.0,2.0
855,31.0,2.0
856,4.0,12.0
857,36.0,6.0
858,31.0,2.0
859,13.0,12.0
859,5.0,12.0
860,29.0,7.0
860,36.0,6.0
861,31.0,2.0
862,18.0,9.0
862,9.0,2.0
863,1.0,12.0
863,25.0,12.0
864,31.0,2.0
865,22.0,12.0
865,35.0,12.0
866,25.0,12.0
866,9.0,2.0
867,13.0,12.0
867,24.0,2.0
869,4.0,12.0
870,20.0,10.0
871,23.0,2.0
871,24.0,2.0
872,31.0,2.0
872,21.0,2.0
873,1.0,12.0
874,39.0,10.0
875,23.0,2.0
876,25.0,12.0
877,22.0,12.0
878,12.0,10.0
878,8.0,2.0
879,13.0,12.0
881,2.0,12.0
882,18.0,9.0
882,24.0,2.0
883,28.0,11.0
884,31.0,2.0
884,8.0,2.0
885,1.0,12.0
886,21.0,2.0
887,22.0,12.0
887,9.0,2.0
889,16.0,13.0
890,23.0,2.0
890,5.0,12.0
891,18.0,9.0
891,14.0,6.0
892,26.0,12.0
892,35.0,12.0
893,7.0,3.0
893,32.0,6.0
894,31.0,2.0
894,21.0,2.0
895,4.0,12.0
896,16.0,13.0
897,21.0,2.0
898,22.0,12.0
898,5.0,12.0
899,6.0,8.0
899,8.0,2.0
900,4.0,12.0
900,21.0,2.0
901,13.0,12.0
901,35.0,12.0
902,24.0,2.0
902,9.0,2.0
903,11.0,10.0
904,9.0,2.0
904,2.0,12.0
905,31.0,2.0
905,8.0,2.0
907,4.0,12.0
907,21.0,2.0
908,31.0,2.0
908,9.0,2.0
909,8.0,2.0
910,14.0,6.0
910,28.0,11.0
911,3.0,3.0
912,36.0,6.0
912,4.0,12.0
913,9.0,2.0
913,24.0,2.0
914,3.0,3.0
915,23.0,2.0
916,9.0,2.0
916,33.0,9.0
917,22.0,12.0
917,11.0,10.0
918,25.0,12.0
918,35.0,12.0
919,31.0,2.0
919,14.0,6.0
920,9.0,2.0
921,2.0,12.0
923,17.0,8.0
923,35.0,12.0
924,1.0,12.0
924,30.0,12.0
925,19.0,10.0
925,21.0,2.0
927,31.0,2.0
927,4.0,12.0
928,9.0,2.0
928,5.0,12.0
929,24.0,2.0
930,23.0,2.0
931,2.0,12.0
932,1.0,12.0
933,31.0,2.0
933,35.0,12.0
934,24.0,2.0
936,23.0,2.0
937,9.0,2.0
938,13.0,12.0
939,23.0,2.0
939,36.0,6.0
940,19.0,10.0
940,29.0,7.0
941,2.0,12.0
942,25.0,12.0
942,2.0,12.0
943,23.0,2.0
944,9.0,2.0
944,5.0,12.0
945,22.0,12.0
945,9.0,2.0
946,24.0,2.0
947,31.0,2.0
947,35.0,12.0
948,4.0,12.0
949,34.0,6.0
950,36.0,6.0
950,8.0,2.0
951,13.0,12.0
951,24.0,2.0
952,31.0,2.0
952,21.0,2.0
953,8.0,2.0
954,22.0,12.0
954,20.0,10.0
955,33.0,9.0
955,5.0,12.0
957,16.0,13.0
957,3.0,3.0
958,7.0,3.0
958,9.0,2.0
960,31.0,2.0
960,23.0,2.0
961,23.0,2.0
961,21.0,2.0
962,4.0,12.0
963,24.0,2.0
963,17.0,8.0
964,9.0,2.0
964,24.0,2.0
965,25.0,12.0
965,2.0,12.0
966,21.0,2.0
967,32.0,6.0
968,35.0,12.0
969,13.0,12.0
970,27.0,6.0
970,8.0,2.0
971,14.0,6.0
971,21.0,2.0
972,23.0,2.0
973,24.0,2.0
973,9.0,2.0
974,9.0,2.0
975,31.0,2.0
976,5.0,12.0
977,24.0,2.0
977,24.0,2.0
978,31.0,2.0
978,4.0,12.0
979,11.0,10.0
979,6.0,8.0
980,8.0,2.0
981,24.0,2.0
982,16.0,13.0
983,23.0,2.0
983,9.0,2.0
984,24.0,2.0
984,8.0,2.0
985,3.0,3.0
986,9.0,2.0
987,35.0,12.0
988,17.0,8.0
989,25.0,12.0
989,24.0,2.0
990,1.0,12.0
991,23.0,2.0
991,2.0,12.0
992,22.0,12.0
992,5.0,12.0
993,20.0,10.0
994,24.0,2.0
995,21.0,2.0
995,17.0,8.0
996,9.0,2.0
996,24.0,2.0
997,23.0,2.0
997,20.0,10.0
998,31.0,2.0
998,9.0,2.0
999,35.0,12.0
999,24.0,2.0
1000,13.0,12.0
1000,2.0,12.0
1001,24.0,2.0
1002,24.0,2.0
1003,35.0,12.0
1004,1.0,12.0
1004,9.0,2.0
1005,5.0,12.0
1005,5.0,12.0
1006,24.0,2.0
1007,11.0,10.0
1008,23.0,2.0
1008,6.0,8.0
1009,9.0,2.0
1010,9.0,2.0
1010,21.0,2.0
1011,35.0,12.0
1012,25.0,12.0
1012,24.0,2.0
1013,9.0,2.0
1014,24.0,2.0
1014,8.0,2.0
1015,23.0,2.0
1015,21.0,2.0
